Date,Short Name,Bid,Offer,Last,Close,High,Low,Open,Chg. Today,Vol. Today,Num. Trades,,,,,
2021-03-03,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-04,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-05,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-08,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-09,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-10,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-11,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-12,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-15,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-16,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-17,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-18,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-19,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-22,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-23,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-24,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-25,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
2021-03-26,SST,0,0,0,35.46,35.46,35.46,0,0,0,0,,,,,
